PK_partner,typ_partnera,názov,ulica,mesto,krajina,ičo,dičo,ic_dph,IBAN
6,TRUE,KROS a.s.,Bytčická 9009/1,Žilina,SK,31635903,2020450608,SK2020450608,SK9709000000000000000006
10,FALSE,Ing. Pavol Vnuk - NORPAL,Mydlárska 2,Žilina,SK,10936157,1020524802,SK1020524802,
11,FALSE,Flux a.s.,Dubová 7,Žilina,SK,36325414,2020100587,SK2020100587,
19,FALSE,Alza.cz a.s.,Jankovcova 1522/53,Praha,CZ,27082440,CZ27082440,CZ27082440,CZ8701000000000000000019
20,FALSE,British Airways,"PLC;Waterside, PO Box 365",Harmondsworth,GB,01777777,,GB222777274,
21,FALSE,Jana Tvorivá - Creative Studio,Mierová 45,Bratislava,SK,50123456,1087654321,,
22,FALSE,Lucia Prekladová - LINGUA,Štúrova 8,Banská Bystrica,SK,50345678,1065432109,,SK2509000000000000000022
62,FALSE,Czech Design s.r.o.,,Praha,CZ,28055443,,,CZ1701000000000000000062
63,FALSE,Vienna Solutions,,Viedeň,AT,11223344,,,AT6900000000000000000063
64,FALSE,Berlin Digital GmbH,,Berlín,DE,99887766,,,DE34100400000000000064
65,FALSE,London Apps Ltd,,Londýn,GB,55443322,,,GB46BARC00000000000065
66,FALSE,Warsaw Dev,,Varšava,PL,44332211,,,
67,FALSE,Budapest Creative,,Budapešť,HU,88776655,,,HU3300000000000000000067
68,FALSE,Swiss Consulting,,Zürich,CH,33449900,,,
69,FALSE,US Global Tech,,New York,US,77661122,,,
70,FALSE,Pixel Art s.r.o.,,Bratislava,SK,50881122,,,
71,FALSE,Kódovacia dielňa,,Košice,SK,36554477,,,SK6909000000000000000071
72,FALSE,Smart Marketing,,Žilina,SK,44558899,,,
73,FALSE,Copywriteri.sk,,Trnava,SK,11223399,,,
74,FALSE,SEO Experti,,Nitra,SK,99880011,,,
75,FALSE,Banská Bystrica IT,,Banská Bystrica,SK,33445588,,,
76,FALSE,E-shop Solutions,,Trenčín,SK,66778811,,,SK8009000000000000000076
77,TRUE,Orange Slovensko,,Bratislava,SK,35697270,,,SK4409000000000000000077
78,TRUE,Telekom SK,,Bratislava,SK,35763469,,,SK4909000000000000000078
79,TRUE,ZSE Energia,,Bratislava,SK,36677281,,,SK9109000000000000000079
80,TRUE,WebSupport,,Bratislava,SK,36421928,,,SK8009000000000000000080
81,TRUE,Google Ireland,,Dublin,IE,88811122,,,IE74BOFI00000000000081
82,TRUE,Adobe Systems,,Dublin,IE,77722233,,,IE91BOFI00000000000082
83,TRUE,Microsoft Cloud,,Dublin,IE,66633344,,,IE37BOFI00000000000083
84,TRUE,Slack Technologies,,Londýn,GB,55544411,,,GB51BARC00000000000084
85,TRUE,Dropbox Service,,Dublin,IE,44455522,,,IE42BOFI00000000000085
86,TRUE,Digital Ocean,,Londýn,GB,22233344,,,GB32BARC00000000000086
87,TRUE,Mailchimp Int.,,New York,US,11122233,,,US77BOFA00000000000087
88,TRUE,Canva Design,,Londýn,GB,99911188,,,GB90BARC00000000000088
89,TRUE,Mestský úrad Žilina,,Žilina,SK,00632708,,,SK9509000000000000000089
90,TRUE,"SPP, a.s.",,Bratislava,SK,35815256,,,SK1509000000000000000090
91,TRUE,"Slovnaft, a.s.",,Bratislava,SK,31322832,,,SK8109000000000000000091
